DINPUT8 Methods Table:
[0]   QueryInterface
[1]   AddRef
[2]   Release
[3]   GetCapabilities
[4]   EnumObjects
[5]   GetProperty
[6]   SetProperty
[7]   Acquire
[8]   Unacquire
[9]   GetDeviceState
[10]   GetDeviceData
[11]   SetDataFormat
[12]   SetEventNotification
[13]   SetCooperativeLevel
[14]   GetObjectInfo
[15]   GetDeviceInfo
[16]   RunControlPanel
[17]   Initialize
[18]   CreateEffect
[19]   EnumEffects
[20]   GetEffectInfo
[21]   GetForceFeedbackState
[22]   SendForceFeedbackCommand
[23]   EnumCreatedEffectObjects
[24]   Escape
[25]   Poll
[26]   SendDeviceData
[27]   EnumEffectsInFile
[28]   WriteEffectToFile
[29]   BuildActionMap
[30]   SetActionMap
[31]   GetImageInfo
